"","X1","SDG","Estimate","Std.Error","Demographic","Year","Data","District","Direction","Label","Order","SDG_Achievement"
"26",57,"met.need.contraceptive",69.73,0.14728490829964,"POOREST",2010,"DHS","BUGESERA",2,"Met Need for Contraceptive",17,69.73
"27",58,"met.need.contraceptive",48.19,0.164695456820874,"POORER",2010,"DHS","BUGESERA",2,"Met Need for Contraceptive",17,48.19
"28",62,"skilled.delivery",54.34,0.15853721810686,"TOTAL",2010,"DHS","BUGESERA",2,"Skilled Individual at Delivery of Child",NA,54.34
"29",63,"skilled.delivery",48.08,0.169465979736626,"MALE",2010,"DHS","BUGESERA",2,"Skilled Individual at Delivery of Child",NA,48.08
"30",64,"skilled.delivery",61.93,0.113352271430435,"FEMALE",2010,"DHS","BUGESERA",2,"Skilled Individual at Delivery of Child",NA,61.93
"31",65,"skilled.delivery",54.34,0.15853721810686,"RURAL",2010,"DHS","BUGESERA",2,"Skilled Individual at Delivery of Child",NA,54.34
"32",66,"skilled.delivery",13.45,0.0715038487405417,"POOREST",2010,"DHS","BUGESERA",2,"Skilled Individual at Delivery of Child",NA,13.45
"33",67,"skilled.delivery",77.19,0.0246083926202633,"POORER",2010,"DHS","BUGESERA",2,"Skilled Individual at Delivery of Child",NA,77.19
"34",68,"skilled.delivery",70.98,0.0416166634032811,"MIDDLE",2010,"DHS","BUGESERA",2,"Skilled Individual at Delivery of Child",NA,70.98
"35",69,"skilled.delivery",78.3,0.151447816037705,"RICHER",2010,"DHS","BUGESERA",2,"Skilled Individual at Delivery of Child",NA,78.3
"36",71,"mal.nourished.children",39.52,0.0605818040491064,"TOTAL",2010,"DHS","BURERA",1,"Under 5 Malnutrition",3,60.48
"37",72,"mal.nourished.children",37.24,0.0323320227954894,"MALE",2010,"DHS","BURERA",1,"Under 5 Malnutrition",3,62.76
"38",73,"mal.nourished.children",41,0.08279793765171,"FEMALE",2010,"DHS","BURERA",1,"Under 5 Malnutrition",3,59
"39",74,"mal.nourished.children",33.33,0,"URBAN",2010,"DHS","BURERA",1,"Under 5 Malnutrition",3,66.67
"40",75,"mal.nourished.children",45.45,5.55111512312578e-17,"RURAL",2010,"DHS","BURERA",1,"Under 5 Malnutrition",3,54.55
"41",76,"mal.nourished.children",37.5,0,"POOREST",2010,"DHS","BURERA",1,"Under 5 Malnutrition",3,62.5
"42",78,"mal.nourished.children",50,0,"MIDDLE",2010,"DHS","BURERA",1,"Under 5 Malnutrition",3,50
"43",80,"mal.nourished.children",14.29,2.77555756156289e-17,"RICHEST",2010,"DHS","BURERA",1,"Under 5 Malnutrition",3,85.71
"44",81,"underweight",4.56,0.00414401735670935,"TOTAL",2010,"DHS","BURERA",1,"Underweight",4,95.44
"45",83,"underweight",10.66,0.0169397817133797,"MALE",2010,"DHS","BURERA",1,"Underweight",4,89.34
"46",84,"underweight",4.98,2.42861286636753e-17,"URBAN",2010,"DHS","BURERA",1,"Underweight",4,95.02
"47",85,"underweight",4.15,6.93889390390723e-18,"RURAL",2010,"DHS","BURERA",1,"Underweight",4,95.85
"48",90,"underweight",9.18,0.0377490207149929,"RICHEST",2010,"DHS","BURERA",1,"Underweight",4,90.82
"49",101,"bednet",93.66,0.00456851587695453,"TOTAL",2010,"DHS","BURERA",2,"Use Bednets",11,93.66
"50",102,"bednet",92.02,0.00711404581115864,"MALE",2010,"DHS","BURERA",2,"Use Bednets",11,92.02
"51",103,"bednet",95.02,0.00287684433584907,"FEMALE",2010,"DHS","BURERA",2,"Use Bednets",11,95.02
"52",104,"bednet",93.2,4.61870125478825e-17,"URBAN",2010,"DHS","BURERA",2,"Use Bednets",11,93.2
"53",105,"bednet",94.12,4.14165229889463e-17,"RURAL",2010,"DHS","BURERA",2,"Use Bednets",11,94.12
"54",106,"bednet",92.17,0.0164577363555206,"POOREST",2010,"DHS","BURERA",2,"Use Bednets",11,92.17
"55",110,"bednet",92.77,0.0266733916157464,"RICHEST",2010,"DHS","BURERA",2,"Use Bednets",11,92.77
"56",121,"four.antenatal",36.06,0.0758789007731175,"TOTAL",2010,"DHS","BURERA",2,"Four Antenatal Visits",16,36.06
"57",123,"four.antenatal",29.74,0.0408694093483813,"FEMALE",2010,"DHS","BURERA",2,"Four Antenatal Visits",16,29.74
"58",124,"four.antenatal",28.57,2.08166817117217e-17,"URBAN",2010,"DHS","BURERA",2,"Four Antenatal Visits",16,28.57
"59",125,"four.antenatal",43.75,0,"RURAL",2010,"DHS","BURERA",2,"Four Antenatal Visits",16,43.75
"60",126,"four.antenatal",41.07,0.0792291348648203,"POOREST",2010,"DHS","BURERA",2,"Four Antenatal Visits",16,41.07
"61",130,"four.antenatal",38.19,0.031663246260672,"RICHEST",2010,"DHS","BURERA",2,"Four Antenatal Visits",16,38.19
"62",131,"met.need.contraceptive",59.86,0.106454482850241,"TOTAL",2010,"DHS","BURERA",2,"Met Need for Contraceptive",17,59.86
"63",132,"met.need.contraceptive",50,0,"URBAN",2010,"DHS","BURERA",2,"Met Need for Contraceptive",17,50
"64",133,"met.need.contraceptive",71.43,7.63278329429795e-17,"RURAL",2010,"DHS","BURERA",2,"Met Need for Contraceptive",17,71.43
"65",134,"met.need.contraceptive",62.64,0.131661993413112,"POOREST",2010,"DHS","BURERA",2,"Met Need for Contraceptive",17,62.64
"66",138,"met.need.contraceptive",60.64,0.10554415420224,"RICHEST",2010,"DHS","BURERA",2,"Met Need for Contraceptive",17,60.64
"67",139,"skilled.delivery",67.35,0.186321263064526,"TOTAL",2010,"DHS","BURERA",2,"Skilled Individual at Delivery of Child",NA,67.35
"68",141,"skilled.delivery",68.74,0.0916153598416857,"FEMALE",2010,"DHS","BURERA",2,"Skilled Individual at Delivery of Child",NA,68.74
"69",142,"skilled.delivery",85,1.09287578986539e-16,"URBAN",2010,"DHS","BURERA",2,"Skilled Individual at Delivery of Child",NA,85
"70",143,"skilled.delivery",47.62,3.46944695195361e-17,"RURAL",2010,"DHS","BURERA",2,"Skilled Individual at Delivery of Child",NA,47.62
"71",144,"skilled.delivery",56.12,0.0175740754609047,"POOREST",2010,"DHS","BURERA",2,"Skilled Individual at Delivery of Child",NA,56.12
"72",148,"skilled.delivery",88.21,0.0828829144311269,"RICHEST",2010,"DHS","BURERA",2,"Skilled Individual at Delivery of Child",NA,88.21
"73",149,"mal.nourished.children",58.14,0.122560496584046,"TOTAL",2010,"DHS","GAKENKE",1,"Under 5 Malnutrition",3,41.86
"74",150,"mal.nourished.children",69.98,0.186696585886421,"MALE",2010,"DHS","GAKENKE",1,"Under 5 Malnutrition",3,30.02
"75",151,"mal.nourished.children",37.25,0.0323090541433653,"FEMALE",2010,"DHS","GAKENKE",1,"Under 5 Malnutrition",3,62.75
"76",152,"mal.nourished.children",58.14,0.122560496584046,"RURAL",2010,"DHS","GAKENKE",1,"Under 5 Malnutrition",3,41.86
"77",154,"mal.nourished.children",60,8.32667268468868e-17,"POORER",2010,"DHS","GAKENKE",1,"Under 5 Malnutrition",3,40
"78",155,"mal.nourished.children",67.58,0.122902405155843,"MIDDLE",2010,"DHS","GAKENKE",1,"Under 5 Malnutrition",3,32.42
"79",157,"mal.nourished.children",50,0,"RICHEST",2010,"DHS","GAKENKE",1,"Under 5 Malnutrition",3,50
"80",158,"underweight",6.34,0.0244829817180498,"TOTAL",2010,"DHS","GAKENKE",1,"Underweight",4,93.66
"81",159,"underweight",4.25,0.030833542501971,"FEMALE",2010,"DHS","GAKENKE",1,"Underweight",4,95.75
"82",160,"underweight",8.88,0.0829762608300704,"MALE",2010,"DHS","GAKENKE",1,"Underweight",4,91.12
"83",161,"underweight",6.34,0.0244829817180498,"RURAL",2010,"DHS","GAKENKE",1,"Underweight",4,93.66
"84",163,"underweight",12.29,0.0350512351333113,"POORER",2010,"DHS","GAKENKE",1,"Underweight",4,87.71
"85",164,"underweight",7.07,0.0815889700232894,"MIDDLE",2010,"DHS","GAKENKE",1,"Underweight",4,92.93
"86",165,"underweight",8.32,0.0831157021415728,"RICHER",2010,"DHS","GAKENKE",1,"Underweight",4,91.68
"87",167,"overweight",2.01,0.0224766669971408,"TOTAL",2010,"DHS","GAKENKE",1,"Overweight",5,97.99
"88",169,"overweight",4.44,0.0414881304150352,"MALE",2010,"DHS","GAKENKE",1,"Overweight",5,95.56
"89",170,"overweight",2.01,0.0224766669971408,"RURAL",2010,"DHS","GAKENKE",1,"Overweight",5,97.99
"90",174,"overweight",7.17,0.0717479901344424,"RICHER",2010,"DHS","GAKENKE",1,"Overweight",5,92.83
"91",176,"bednet",92.49,0.0128033807975538,"TOTAL",2010,"DHS","GAKENKE",2,"Use Bednets",11,92.49
"92",177,"bednet",97.01,0.00895697765972301,"MALE",2010,"DHS","GAKENKE",2,"Use Bednets",11,97.01
"93",178,"bednet",88.8,0.022943745172376,"FEMALE",2010,"DHS","GAKENKE",2,"Use Bednets",11,88.8
"94",179,"bednet",92.49,0.0128033807975538,"RURAL",2010,"DHS","GAKENKE",2,"Use Bednets",11,92.49
"95",180,"bednet",95.98,0.00724178146159805,"POOREST",2010,"DHS","GAKENKE",2,"Use Bednets",11,95.98
"96",181,"bednet",87.83,0.00364408553771059,"POORER",2010,"DHS","GAKENKE",2,"Use Bednets",11,87.83
"97",182,"bednet",92.23,0.0246503880237831,"MIDDLE",2010,"DHS","GAKENKE",2,"Use Bednets",11,92.23
"98",183,"bednet",87.6,0.124992710219884,"RICHER",2010,"DHS","GAKENKE",2,"Use Bednets",11,87.6
"99",196,"four.antenatal",21.3,0.112706786300064,"FEMALE",2010,"DHS","GAKENKE",2,"Four Antenatal Visits",16,21.3
"100",198,"four.antenatal",21.66,0.0699320098028335,"POOREST",2010,"DHS","GAKENKE",2,"Four Antenatal Visits",16,21.66
"101",202,"four.antenatal",50,0,"RICHEST",2010,"DHS","GAKENKE",2,"Four Antenatal Visits",16,50
"102",205,"met.need.contraceptive",79.4,0.072550306726407,"POOREST",2010,"DHS","GAKENKE",2,"Met Need for Contraceptive",17,79.4
"103",206,"met.need.contraceptive",51.3,0.165649311424467,"POORER",2010,"DHS","GAKENKE",2,"Met Need for Contraceptive",17,51.3
"104",210,"skilled.delivery",61,0.154368314075445,"TOTAL",2010,"DHS","GAKENKE",2,"Skilled Individual at Delivery of Child",NA,61
"105",211,"skilled.delivery",73.13,0.120673824696236,"MALE",2010,"DHS","GAKENKE",2,"Skilled Individual at Delivery of Child",NA,73.13
"106",212,"skilled.delivery",43.32,0.139864019605667,"FEMALE",2010,"DHS","GAKENKE",2,"Skilled Individual at Delivery of Child",NA,43.32
"107",213,"skilled.delivery",61,0.154368314075445,"RURAL",2010,"DHS","GAKENKE",2,"Skilled Individual at Delivery of Child",NA,61
"108",214,"skilled.delivery",70.96,0.0582224096042823,"POOREST",2010,"DHS","GAKENKE",2,"Skilled Individual at Delivery of Child",NA,70.96
"109",218,"skilled.delivery",60,2.77555756156289e-17,"RICHEST",2010,"DHS","GAKENKE",2,"Skilled Individual at Delivery of Child",NA,60
"110",221,"mal.nourished.children",22.78,0.144268299903459,"FEMALE",2010,"DHS","GASABO",1,"Under 5 Malnutrition",3,77.22
"111",226,"mal.nourished.children",50,0,"RICHER",2010,"DHS","GASABO",1,"Under 5 Malnutrition",3,50
"112",228,"underweight",15.32,0.0251867025700229,"TOTAL",2010,"DHS","GASABO",1,"Underweight",4,84.68
"113",229,"underweight",3.95,0.0259797071115823,"FEMALE",2010,"DHS","GASABO",1,"Underweight",4,96.05
"114",230,"underweight",25.55,0.0289254419221688,"MALE",2010,"DHS","GASABO",1,"Underweight",4,74.45
"115",231,"underweight",15.32,0.0251867025700229,"RURAL",2010,"DHS","GASABO",1,"Underweight",4,84.68
"116",235,"underweight",18.86,0.0243355941874334,"RICHER",2010,"DHS","GASABO",1,"Underweight",4,81.14
"117",236,"underweight",21.08,0.0875706130704843,"RICHEST",2010,"DHS","GASABO",1,"Underweight",4,78.92
"118",237,"overweight",7.08,0.056060814942583,"TOTAL",2010,"DHS","GASABO",1,"Overweight",5,92.92
"119",238,"overweight",12.18,0.0844340481126424,"FEMALE",2010,"DHS","GASABO",1,"Overweight",5,87.82
"120",239,"overweight",2.51,0.0325411221624399,"MALE",2010,"DHS","GASABO",1,"Overweight",5,97.49
"121",240,"overweight",7.08,0.056060814942583,"RURAL",2010,"DHS","GASABO",1,"Overweight",5,92.92
"122",244,"overweight",9.28,0.0119728334187965,"RICHER",2010,"DHS","GASABO",1,"Overweight",5,90.72
"123",245,"overweight",9.54,0.0856007514888096,"RICHEST",2010,"DHS","GASABO",1,"Overweight",5,90.46
"124",246,"bednet",84.39,0.0281164962551974,"TOTAL",2010,"DHS","GASABO",2,"Use Bednets",11,84.39
"125",247,"bednet",83.23,0.00562342863423714,"MALE",2010,"DHS","GASABO",2,"Use Bednets",11,83.23
"126",248,"bednet",85.49,0.0504022708016955,"FEMALE",2010,"DHS","GASABO",2,"Use Bednets",11,85.49
"127",249,"bednet",84.39,0.0281164962551974,"RURAL",2010,"DHS","GASABO",2,"Use Bednets",11,84.39
"128",252,"bednet",72.17,0.143559308690533,"MIDDLE",2010,"DHS","GASABO",2,"Use Bednets",11,72.17
"129",254,"bednet",85.97,0.0347421825809719,"RICHEST",2010,"DHS","GASABO",2,"Use Bednets",11,85.97
"130",255,"one.or.more.antenatal",94.33,0.0491116171738706,"TOTAL",2010,"DHS","GASABO",2,"One or More Antenatal Visits",15,94.33
"131",256,"one.or.more.antenatal",87.15,0.0918667882023647,"MALE",2010,"DHS","GASABO",2,"One or More Antenatal Visits",15,87.15
"132",258,"one.or.more.antenatal",94.33,0.0491116171738706,"RURAL",2010,"DHS","GASABO",2,"One or More Antenatal Visits",15,94.33
"133",263,"four.antenatal",36.21,0.156264236462316,"TOTAL",2010,"DHS","GASABO",2,"Four Antenatal Visits",16,36.21
"134",264,"four.antenatal",34.64,0.0689000911517735,"MALE",2010,"DHS","GASABO",2,"Four Antenatal Visits",16,34.64
"135",266,"four.antenatal",36.21,0.156264236462316,"RURAL",2010,"DHS","GASABO",2,"Four Antenatal Visits",16,36.21
"136",271,"met.need.contraceptive",65.09,0.101384966529836,"TOTAL",2010,"DHS","GASABO",2,"Met Need for Contraceptive",17,65.09
"137",272,"met.need.contraceptive",65.09,0.101384966529836,"RURAL",2010,"DHS","GASABO",2,"Met Need for Contraceptive",17,65.09
"138",278,"skilled.delivery",81.46,0.0372185211766847,"TOTAL",2010,"DHS","GASABO",2,"Skilled Individual at Delivery of Child",NA,81.46
"139",279,"skilled.delivery",83.33,1.38777878078145e-17,"MALE",2010,"DHS","GASABO",2,"Skilled Individual at Delivery of Child",NA,83.33
"140",280,"skilled.delivery",79.86,0.0691201107567001,"FEMALE",2010,"DHS","GASABO",2,"Skilled Individual at Delivery of Child",NA,79.86
"141",281,"skilled.delivery",81.46,0.0372185211766847,"RURAL",2010,"DHS","GASABO",2,"Skilled Individual at Delivery of Child",NA,81.46
"142",285,"skilled.delivery",88.89,8.67361737988404e-18,"RICHEST",2010,"DHS","GASABO",2,"Skilled Individual at Delivery of Child",NA,88.89
"143",286,"mal.nourished.children",47.78,0.0266698648987122,"TOTAL",2010,"DHS","GATSIBO",1,"Under 5 Malnutrition",3,52.22
"144",287,"mal.nourished.children",60,6.93889390390723e-18,"MALE",2010,"DHS","GATSIBO",1,"Under 5 Malnutrition",3,40
"145",288,"mal.nourished.children",36.84,0.0797940099157339,"FEMALE",2010,"DHS","GATSIBO",1,"Under 5 Malnutrition",3,63.16
"146",289,"mal.nourished.children",47.78,0.0266698648987122,"RURAL",2010,"DHS","GATSIBO",1,"Under 5 Malnutrition",3,52.22
"147",290,"mal.nourished.children",69.03,0.0338407386335622,"POOREST",2010,"DHS","GATSIBO",1,"Under 5 Malnutrition",3,30.97
"148",291,"mal.nourished.children",19.05,0.163251296649614,"POORER",2010,"DHS","GATSIBO",1,"Under 5 Malnutrition",3,80.95
"149",295,"underweight",18,0.00231922954595502,"TOTAL",2010,"DHS","GATSIBO",1,"Underweight",4,82
"150",296,"underweight",20.1,0.0164809148110794,"FEMALE",2010,"DHS","GATSIBO",1,"Underweight",4,79.9
"151",297,"underweight",15.87,0.0232945095676131,"MALE",2010,"DHS","GATSIBO",1,"Underweight",4,84.13
"152",298,"underweight",18,0.00231922954595502,"RURAL",2010,"DHS","GATSIBO",1,"Underweight",4,82
"153",299,"underweight",20.35,0.0522471398712187,"POOREST",2010,"DHS","GATSIBO",1,"Underweight",4,79.65
"154",300,"underweight",24.52,0.0678537865040281,"POORER",2010,"DHS","GATSIBO",1,"Underweight",4,75.48
"155",301,"underweight",15.1,0.121075445935173,"MIDDLE",2010,"DHS","GATSIBO",1,"Underweight",4,84.9
"156",302,"underweight",14.46,2.08166817117217e-17,"RICHER",2010,"DHS","GATSIBO",1,"Underweight",4,85.54
"157",313,"bednet",81.07,0.00245752663435188,"TOTAL",2010,"DHS","GATSIBO",2,"Use Bednets",11,81.07
"158",314,"bednet",80.86,0.0246333748254834,"MALE",2010,"DHS","GATSIBO",2,"Use Bednets",11,80.86
"159",315,"bednet",81.24,0.0153542549358223,"FEMALE",2010,"DHS","GATSIBO",2,"Use Bednets",11,81.24
"160",316,"bednet",81.07,0.00245752663435188,"RURAL",2010,"DHS","GATSIBO",2,"Use Bednets",11,81.07
"161",317,"bednet",78.98,0.0026887573419108,"POOREST",2010,"DHS","GATSIBO",2,"Use Bednets",11,78.98
"162",318,"bednet",76.65,0.108656004719467,"POORER",2010,"DHS","GATSIBO",2,"Use Bednets",11,76.65
"163",319,"bednet",92.4,0.0519048956874369,"MIDDLE",2010,"DHS","GATSIBO",2,"Use Bednets",11,92.4
"164",320,"bednet",72,6.93889390390723e-18,"RICHER",2010,"DHS","GATSIBO",2,"Use Bednets",11,72
"165",321,"bednet",93.8,0.0778918844171086,"RICHEST",2010,"DHS","GATSIBO",2,"Use Bednets",11,93.8
"166",331,"four.antenatal",19.61,0.0664383240062654,"TOTAL",2010,"DHS","GATSIBO",2,"Four Antenatal Visits",16,19.61
"167",332,"four.antenatal",30,0.130907651683939,"MALE",2010,"DHS","GATSIBO",2,"Four Antenatal Visits",16,30
"168",333,"four.antenatal",11.72,0.00684947028516773,"FEMALE",2010,"DHS","GATSIBO",2,"Four Antenatal Visits",16,11.72
"169",334,"four.antenatal",19.61,0.0664383240062654,"RURAL",2010,"DHS","GATSIBO",2,"Four Antenatal Visits",16,19.61
"170",335,"four.antenatal",21.43,0.133594219572243,"POOREST",2010,"DHS","GATSIBO",2,"Four Antenatal Visits",16,21.43
"171",336,"four.antenatal",40.47,0.0816256521905726,"POORER",2010,"DHS","GATSIBO",2,"Four Antenatal Visits",16,40.47
"172",340,"met.need.contraceptive",55.9,0.106036471785545,"TOTAL",2010,"DHS","GATSIBO",2,"Met Need for Contraceptive",17,55.9
"173",341,"met.need.contraceptive",55.9,0.106036471785545,"RURAL",2010,"DHS","GATSIBO",2,"Met Need for Contraceptive",17,55.9
"174",342,"met.need.contraceptive",60.72,0.137778697368956,"POOREST",2010,"DHS","GATSIBO",2,"Met Need for Contraceptive",17,60.72
"175",343,"met.need.contraceptive",50,0,"POORER",2010,"DHS","GATSIBO",2,"Met Need for Contraceptive",17,50
"176",345,"met.need.contraceptive",50,0,"RICHER",2010,"DHS","GATSIBO",2,"Met Need for Contraceptive",17,50
"177",347,"skilled.delivery",43.2,0.00307219134046596,"TOTAL",2010,"DHS","GATSIBO",2,"Skilled Individual at Delivery of Child",NA,43.2
"178",348,"skilled.delivery",45.29,0.049828743004699,"MALE",2010,"DHS","GATSIBO",2,"Skilled Individual at Delivery of Child",NA,45.29
"179",349,"skilled.delivery",41.46,0.0342682224495603,"FEMALE",2010,"DHS","GATSIBO",2,"Skilled Individual at Delivery of Child",NA,41.46
"180",350,"skilled.delivery",43.2,0.00307219134046596,"RURAL",2010,"DHS","GATSIBO",2,"Skilled Individual at Delivery of Child",NA,43.2
"181",351,"skilled.delivery",28.83,0.140205380097822,"POOREST",2010,"DHS","GATSIBO",2,"Skilled Individual at Delivery of Child",NA,28.83
"182",355,"skilled.delivery",75,0,"RICHEST",2010,"DHS","GATSIBO",2,"Skilled Individual at Delivery of Child",NA,75
"183",357,"mal.nourished.children",66.43,0.148632334740124,"MALE",2010,"DHS","GICUMBI",1,"Under 5 Malnutrition",3,33.57
"184",363,"mal.nourished.children",25.2,0.123018493659114,"RICHER",2010,"DHS","GICUMBI",1,"Under 5 Malnutrition",3,74.8
"185",365,"underweight",6.45,0.0144988849972459,"TOTAL",2010,"DHS","GICUMBI",1,"Underweight",4,93.55
"186",367,"underweight",13.67,0.0205379005101814,"MALE",2010,"DHS","GICUMBI",1,"Underweight",4,86.33
"187",368,"underweight",6.45,0.0144988849972459,"RURAL",2010,"DHS","GICUMBI",1,"Underweight",4,93.55
"188",370,"underweight",14.23,0.0830834743832742,"POORER",2010,"DHS","GICUMBI",1,"Underweight",4,85.77
"189",372,"underweight",9.69,0.0724194089108743,"RICHER",2010,"DHS","GICUMBI",1,"Underweight",4,90.31
"190",383,"bednet",76.91,0.0301539374352905,"TOTAL",2010,"DHS","GICUMBI",2,"Use Bednets",11,76.91
"191",384,"bednet",77.77,0.00673877536724741,"MALE",2010,"DHS","GICUMBI",2,"Use Bednets",11,77.77
"192",385,"bednet",76.19,0.0500803477509704,"FEMALE",2010,"DHS","GICUMBI",2,"Use Bednets",11,76.19
"193",386,"bednet",76.91,0.0301539374352905,"RURAL",2010,"DHS","GICUMBI",2,"Use Bednets",11,76.91
"194",387,"bednet",72.86,0.13639189651682,"POOREST",2010,"DHS","GICUMBI",2,"Use Bednets",11,72.86
"195",388,"bednet",77.33,0.0748135174981223,"POORER",2010,"DHS","GICUMBI",2,"Use Bednets",11,77.33
"196",389,"bednet",77.6,0.00592444820243968,"MIDDLE",2010,"DHS","GICUMBI",2,"Use Bednets",11,77.6
"197",390,"bednet",94.21,0.0487471869876726,"RICHER",2010,"DHS","GICUMBI",2,"Use Bednets",11,94.21
"198",401,"four.antenatal",3.89,0.0293640149893035,"TOTAL",2010,"DHS","GICUMBI",2,"Four Antenatal Visits",16,3.89
"199",402,"four.antenatal",7.22,0.0505505032453697,"MALE",2010,"DHS","GICUMBI",2,"Four Antenatal Visits",16,7.22
"200",404,"four.antenatal",3.89,0.0293640149893035,"RURAL",2010,"DHS","GICUMBI",2,"Four Antenatal Visits",16,3.89
"201",408,"four.antenatal",20.25,0.158954464289678,"RICHER",2010,"DHS","GICUMBI",2,"Four Antenatal Visits",16,20.25
"202",410,"met.need.contraceptive",41.63,0.0206646532520736,"TOTAL",2010,"DHS","GICUMBI",2,"Met Need for Contraceptive",17,41.63
"203",411,"met.need.contraceptive",41.63,0.0206646532520736,"RURAL",2010,"DHS","GICUMBI",2,"Met Need for Contraceptive",17,41.63
"204",414,"met.need.contraceptive",42.79,0.040259371059428,"MIDDLE",2010,"DHS","GICUMBI",2,"Met Need for Contraceptive",17,42.79
"205",415,"met.need.contraceptive",20.13,0.0784857171620281,"RICHER",2010,"DHS","GICUMBI",2,"Met Need for Contraceptive",17,20.13
"206",417,"skilled.delivery",77.43,0.00414017591281414,"TOTAL",2010,"DHS","GICUMBI",2,"Skilled Individual at Delivery of Child",NA,77.43
"207",418,"skilled.delivery",75.05,0.0311192311858229,"MALE",2010,"DHS","GICUMBI",2,"Skilled Individual at Delivery of Child",NA,75.05
"208",419,"skilled.delivery",79.96,0.0264924107149464,"FEMALE",2010,"DHS","GICUMBI",2,"Skilled Individual at Delivery of Child",NA,79.96
"209",420,"skilled.delivery",77.43,0.00414017591281414,"RURAL",2010,"DHS","GICUMBI",2,"Skilled Individual at Delivery of Child",NA,77.43
"210",421,"skilled.delivery",60.13,0.0794772321448392,"POOREST",2010,"DHS","GICUMBI",2,"Skilled Individual at Delivery of Child",NA,60.13
"211",422,"skilled.delivery",91.04,0.0828617591028395,"POORER",2010,"DHS","GICUMBI",2,"Skilled Individual at Delivery of Child",NA,91.04
"212",423,"skilled.delivery",71.17,0.161037484237712,"MIDDLE",2010,"DHS","GICUMBI",2,"Skilled Individual at Delivery of Child",NA,71.17
"213",424,"skilled.delivery",66.84,0.109923124580788,"RICHER",2010,"DHS","GICUMBI",2,"Skilled Individual at Delivery of Child",NA,66.84
"214",433,"underweight",8.56,0.0201626501524492,"TOTAL",2010,"DHS","GISAGARA",1,"Underweight",4,91.44
"215",434,"underweight",9.78,0.0385928692577601,"FEMALE",2010,"DHS","GISAGARA",1,"Underweight",4,90.22
